"Taxa","tag","Site","Survey","Group_id","Count","Tolerance"
"Asian_Clam","ShoppingPlaza1","ShoppingPlaza",1,"A",2,"Tolerant"
"Odonata","ShoppingPlaza1","ShoppingPlaza",1,"A",0,"Moderate"
"Aquatic_Worm","ShoppingPlaza1","ShoppingPlaza",1,"A",0,"Tolerant"
"Rock_Snail","ShoppingPlaza1","ShoppingPlaza",1,"A",0,"Moderate"
"Round_Worm","ShoppingPlaza1","ShoppingPlaza",1,"A",0,"Tolerant"
"Stonefly","ShoppingPlaza1","ShoppingPlaza",1,"A",0,"Sensitive"
"RiffleBeetle","ShoppingPlaza1","ShoppingPlaza",1,"A",0,"Moderate"
"Diptera","ShoppingPlaza1","ShoppingPlaza",1,"A",0,"Moderate"
"Diplopoda","ShoppingPlaza1","ShoppingPlaza",1,"A",0,"Moderate"
"Chilopoda","ShoppingPlaza1","ShoppingPlaza",1,"A",0,"Moderate"
"Asian_Clam","ShoppingPlaza2","ShoppingPlaza",2,"B",3,"Tolerant"
"Odonata","ShoppingPlaza2","ShoppingPlaza",2,"B",1,"Moderate"
"Aquatic_Worm","ShoppingPlaza2","ShoppingPlaza",2,"B",0,"Tolerant"
"Rock_Snail","ShoppingPlaza2","ShoppingPlaza",2,"B",0,"Moderate"
"Round_Worm","ShoppingPlaza2","ShoppingPlaza",2,"B",0,"Tolerant"
"Stonefly","ShoppingPlaza2","ShoppingPlaza",2,"B",0,"Sensitive"
"RiffleBeetle","ShoppingPlaza2","ShoppingPlaza",2,"B",0,"Moderate"
"Diptera","ShoppingPlaza2","ShoppingPlaza",2,"B",0,"Moderate"
"Diplopoda","ShoppingPlaza2","ShoppingPlaza",2,"B",0,"Moderate"
"Chilopoda","ShoppingPlaza2","ShoppingPlaza",2,"B",0,"Moderate"
"Asian_Clam","ShoppingPlaza3","ShoppingPlaza",3,"A",6,"Tolerant"
"Odonata","ShoppingPlaza3","ShoppingPlaza",3,"A",0,"Moderate"
"Aquatic_Worm","ShoppingPlaza3","ShoppingPlaza",3,"A",0,"Tolerant"
"Rock_Snail","ShoppingPlaza3","ShoppingPlaza",3,"A",0,"Moderate"
"Round_Worm","ShoppingPlaza3","ShoppingPlaza",3,"A",0,"Tolerant"
"Stonefly","ShoppingPlaza3","ShoppingPlaza",3,"A",0,"Sensitive"
"RiffleBeetle","ShoppingPlaza3","ShoppingPlaza",3,"A",0,"Moderate"
"Diptera","ShoppingPlaza3","ShoppingPlaza",3,"A",0,"Moderate"
"Diplopoda","ShoppingPlaza3","ShoppingPlaza",3,"A",0,"Moderate"
"Chilopoda","ShoppingPlaza3","ShoppingPlaza",3,"A",0,"Moderate"
"Asian_Clam","ShoppingPlaza4","ShoppingPlaza",4,"B",10,"Tolerant"
"Odonata","ShoppingPlaza4","ShoppingPlaza",4,"B",0,"Moderate"
"Aquatic_Worm","ShoppingPlaza4","ShoppingPlaza",4,"B",0,"Tolerant"
"Rock_Snail","ShoppingPlaza4","ShoppingPlaza",4,"B",0,"Moderate"
"Round_Worm","ShoppingPlaza4","ShoppingPlaza",4,"B",0,"Tolerant"
"Stonefly","ShoppingPlaza4","ShoppingPlaza",4,"B",0,"Sensitive"
"RiffleBeetle","ShoppingPlaza4","ShoppingPlaza",4,"B",0,"Moderate"
"Diptera","ShoppingPlaza4","ShoppingPlaza",4,"B",0,"Moderate"
"Diplopoda","ShoppingPlaza4","ShoppingPlaza",4,"B",0,"Moderate"
"Chilopoda","ShoppingPlaza4","ShoppingPlaza",4,"B",0,"Moderate"
"Asian_Clam","ShoppingPlaza5","ShoppingPlaza",5,"A",0,"Tolerant"
"Odonata","ShoppingPlaza5","ShoppingPlaza",5,"A",0,"Moderate"
"Aquatic_Worm","ShoppingPlaza5","ShoppingPlaza",5,"A",0,"Tolerant"
"Rock_Snail","ShoppingPlaza5","ShoppingPlaza",5,"A",0,"Moderate"
"Round_Worm","ShoppingPlaza5","ShoppingPlaza",5,"A",0,"Tolerant"
"Stonefly","ShoppingPlaza5","ShoppingPlaza",5,"A",0,"Sensitive"
"RiffleBeetle","ShoppingPlaza5","ShoppingPlaza",5,"A",0,"Moderate"
"Diptera","ShoppingPlaza5","ShoppingPlaza",5,"A",0,"Moderate"
"Diplopoda","ShoppingPlaza5","ShoppingPlaza",5,"A",0,"Moderate"
"Chilopoda","ShoppingPlaza5","ShoppingPlaza",5,"A",0,"Moderate"
"Asian_Clam","ShoppingPlaza6","ShoppingPlaza",6,"B",5,"Tolerant"
"Odonata","ShoppingPlaza6","ShoppingPlaza",6,"B",0,"Moderate"
"Aquatic_Worm","ShoppingPlaza6","ShoppingPlaza",6,"B",0,"Tolerant"
"Rock_Snail","ShoppingPlaza6","ShoppingPlaza",6,"B",0,"Moderate"
"Round_Worm","ShoppingPlaza6","ShoppingPlaza",6,"B",0,"Tolerant"
"Stonefly","ShoppingPlaza6","ShoppingPlaza",6,"B",0,"Sensitive"
"RiffleBeetle","ShoppingPlaza6","ShoppingPlaza",6,"B",0,"Moderate"
"Diptera","ShoppingPlaza6","ShoppingPlaza",6,"B",0,"Moderate"
"Diplopoda","ShoppingPlaza6","ShoppingPlaza",6,"B",0,"Moderate"
"Chilopoda","ShoppingPlaza6","ShoppingPlaza",6,"B",0,"Moderate"
"Asian_Clam","ShoppingPlaza7","ShoppingPlaza",7,"A",4,"Tolerant"
"Odonata","ShoppingPlaza7","ShoppingPlaza",7,"A",0,"Moderate"
"Aquatic_Worm","ShoppingPlaza7","ShoppingPlaza",7,"A",0,"Tolerant"
"Rock_Snail","ShoppingPlaza7","ShoppingPlaza",7,"A",0,"Moderate"
"Round_Worm","ShoppingPlaza7","ShoppingPlaza",7,"A",0,"Tolerant"
"Stonefly","ShoppingPlaza7","ShoppingPlaza",7,"A",0,"Sensitive"
"RiffleBeetle","ShoppingPlaza7","ShoppingPlaza",7,"A",0,"Moderate"
"Diptera","ShoppingPlaza7","ShoppingPlaza",7,"A",0,"Moderate"
"Diplopoda","ShoppingPlaza7","ShoppingPlaza",7,"A",0,"Moderate"
"Chilopoda","ShoppingPlaza7","ShoppingPlaza",7,"A",0,"Moderate"
"Asian_Clam","ShoppingPlaza8","ShoppingPlaza",8,"B",43,"Tolerant"
"Odonata","ShoppingPlaza8","ShoppingPlaza",8,"B",0,"Moderate"
"Aquatic_Worm","ShoppingPlaza8","ShoppingPlaza",8,"B",0,"Tolerant"
"Rock_Snail","ShoppingPlaza8","ShoppingPlaza",8,"B",0,"Moderate"
"Round_Worm","ShoppingPlaza8","ShoppingPlaza",8,"B",0,"Tolerant"
"Stonefly","ShoppingPlaza8","ShoppingPlaza",8,"B",0,"Sensitive"
"RiffleBeetle","ShoppingPlaza8","ShoppingPlaza",8,"B",0,"Moderate"
"Diptera","ShoppingPlaza8","ShoppingPlaza",8,"B",0,"Moderate"
"Diplopoda","ShoppingPlaza8","ShoppingPlaza",8,"B",0,"Moderate"
"Chilopoda","ShoppingPlaza8","ShoppingPlaza",8,"B",0,"Moderate"
"Asian_Clam","ShoppingPlaza9","ShoppingPlaza",9,"A",0,"Tolerant"
"Odonata","ShoppingPlaza9","ShoppingPlaza",9,"A",0,"Moderate"
"Aquatic_Worm","ShoppingPlaza9","ShoppingPlaza",9,"A",0,"Tolerant"
"Rock_Snail","ShoppingPlaza9","ShoppingPlaza",9,"A",0,"Moderate"
"Round_Worm","ShoppingPlaza9","ShoppingPlaza",9,"A",0,"Tolerant"
"Stonefly","ShoppingPlaza9","ShoppingPlaza",9,"A",0,"Sensitive"
"RiffleBeetle","ShoppingPlaza9","ShoppingPlaza",9,"A",0,"Moderate"
"Diptera","ShoppingPlaza9","ShoppingPlaza",9,"A",0,"Moderate"
"Diplopoda","ShoppingPlaza9","ShoppingPlaza",9,"A",0,"Moderate"
"Chilopoda","ShoppingPlaza9","ShoppingPlaza",9,"A",0,"Moderate"
"Asian_Clam","ShoppingPlaza10","ShoppingPlaza",10,"B",16,"Tolerant"
"Odonata","ShoppingPlaza10","ShoppingPlaza",10,"B",0,"Moderate"
"Aquatic_Worm","ShoppingPlaza10","ShoppingPlaza",10,"B",0,"Tolerant"
"Rock_Snail","ShoppingPlaza10","ShoppingPlaza",10,"B",0,"Moderate"
"Round_Worm","ShoppingPlaza10","ShoppingPlaza",10,"B",0,"Tolerant"
"Stonefly","ShoppingPlaza10","ShoppingPlaza",10,"B",0,"Sensitive"
"RiffleBeetle","ShoppingPlaza10","ShoppingPlaza",10,"B",0,"Moderate"
"Diptera","ShoppingPlaza10","ShoppingPlaza",10,"B",0,"Moderate"
"Diplopoda","ShoppingPlaza10","ShoppingPlaza",10,"B",0,"Moderate"
"Chilopoda","ShoppingPlaza10","ShoppingPlaza",10,"B",0,"Moderate"
"Asian_Clam","ShoppingPlaza11","ShoppingPlaza",11,"A",1,"Tolerant"
"Odonata","ShoppingPlaza11","ShoppingPlaza",11,"A",0,"Moderate"
"Aquatic_Worm","ShoppingPlaza11","ShoppingPlaza",11,"A",0,"Tolerant"
"Rock_Snail","ShoppingPlaza11","ShoppingPlaza",11,"A",0,"Moderate"
"Round_Worm","ShoppingPlaza11","ShoppingPlaza",11,"A",0,"Tolerant"
"Stonefly","ShoppingPlaza11","ShoppingPlaza",11,"A",0,"Sensitive"
"RiffleBeetle","ShoppingPlaza11","ShoppingPlaza",11,"A",0,"Moderate"
"Diptera","ShoppingPlaza11","ShoppingPlaza",11,"A",0,"Moderate"
"Diplopoda","ShoppingPlaza11","ShoppingPlaza",11,"A",0,"Moderate"
"Chilopoda","ShoppingPlaza11","ShoppingPlaza",11,"A",0,"Moderate"
"Asian_Clam","ShoppingPlaza12","ShoppingPlaza",12,"B",0,"Tolerant"
"Odonata","ShoppingPlaza12","ShoppingPlaza",12,"B",0,"Moderate"
"Aquatic_Worm","ShoppingPlaza12","ShoppingPlaza",12,"B",1,"Tolerant"
"Rock_Snail","ShoppingPlaza12","ShoppingPlaza",12,"B",0,"Moderate"
"Round_Worm","ShoppingPlaza12","ShoppingPlaza",12,"B",0,"Tolerant"
"Stonefly","ShoppingPlaza12","ShoppingPlaza",12,"B",0,"Sensitive"
"RiffleBeetle","ShoppingPlaza12","ShoppingPlaza",12,"B",0,"Moderate"
"Diptera","ShoppingPlaza12","ShoppingPlaza",12,"B",0,"Moderate"
"Diplopoda","ShoppingPlaza12","ShoppingPlaza",12,"B",0,"Moderate"
"Chilopoda","ShoppingPlaza12","ShoppingPlaza",12,"B",0,"Moderate"
"Asian_Clam","ShoppingPlaza13","ShoppingPlaza",13,"A",7,"Tolerant"
"Odonata","ShoppingPlaza13","ShoppingPlaza",13,"A",1,"Moderate"
"Aquatic_Worm","ShoppingPlaza13","ShoppingPlaza",13,"A",0,"Tolerant"
"Rock_Snail","ShoppingPlaza13","ShoppingPlaza",13,"A",0,"Moderate"
"Round_Worm","ShoppingPlaza13","ShoppingPlaza",13,"A",0,"Tolerant"
"Stonefly","ShoppingPlaza13","ShoppingPlaza",13,"A",0,"Sensitive"
"RiffleBeetle","ShoppingPlaza13","ShoppingPlaza",13,"A",0,"Moderate"
"Diptera","ShoppingPlaza13","ShoppingPlaza",13,"A",0,"Moderate"
"Diplopoda","ShoppingPlaza13","ShoppingPlaza",13,"A",0,"Moderate"
"Chilopoda","ShoppingPlaza13","ShoppingPlaza",13,"A",0,"Moderate"
"Asian_Clam","ShoppingPlaza14","ShoppingPlaza",14,"B",75,"Tolerant"
"Odonata","ShoppingPlaza14","ShoppingPlaza",14,"B",0,"Moderate"
"Aquatic_Worm","ShoppingPlaza14","ShoppingPlaza",14,"B",0,"Tolerant"
"Rock_Snail","ShoppingPlaza14","ShoppingPlaza",14,"B",0,"Moderate"
"Round_Worm","ShoppingPlaza14","ShoppingPlaza",14,"B",0,"Tolerant"
"Stonefly","ShoppingPlaza14","ShoppingPlaza",14,"B",0,"Sensitive"
"RiffleBeetle","ShoppingPlaza14","ShoppingPlaza",14,"B",0,"Moderate"
"Diptera","ShoppingPlaza14","ShoppingPlaza",14,"B",0,"Moderate"
"Diplopoda","ShoppingPlaza14","ShoppingPlaza",14,"B",0,"Moderate"
"Chilopoda","ShoppingPlaza14","ShoppingPlaza",14,"B",0,"Moderate"
"Asian_Clam","ShoppingPlaza15","ShoppingPlaza",15,"A",18,"Tolerant"
"Odonata","ShoppingPlaza15","ShoppingPlaza",15,"A",0,"Moderate"
"Aquatic_Worm","ShoppingPlaza15","ShoppingPlaza",15,"A",0,"Tolerant"
"Rock_Snail","ShoppingPlaza15","ShoppingPlaza",15,"A",0,"Moderate"
"Round_Worm","ShoppingPlaza15","ShoppingPlaza",15,"A",0,"Tolerant"
"Stonefly","ShoppingPlaza15","ShoppingPlaza",15,"A",0,"Sensitive"
"RiffleBeetle","ShoppingPlaza15","ShoppingPlaza",15,"A",0,"Moderate"
"Diptera","ShoppingPlaza15","ShoppingPlaza",15,"A",0,"Moderate"
"Diplopoda","ShoppingPlaza15","ShoppingPlaza",15,"A",0,"Moderate"
"Chilopoda","ShoppingPlaza15","ShoppingPlaza",15,"A",0,"Moderate"
"Asian_Clam","ShoppingPlaza16","ShoppingPlaza",16,"B",32,"Tolerant"
"Odonata","ShoppingPlaza16","ShoppingPlaza",16,"B",0,"Moderate"
"Aquatic_Worm","ShoppingPlaza16","ShoppingPlaza",16,"B",0,"Tolerant"
"Rock_Snail","ShoppingPlaza16","ShoppingPlaza",16,"B",0,"Moderate"
"Round_Worm","ShoppingPlaza16","ShoppingPlaza",16,"B",0,"Tolerant"
"Stonefly","ShoppingPlaza16","ShoppingPlaza",16,"B",0,"Sensitive"
"RiffleBeetle","ShoppingPlaza16","ShoppingPlaza",16,"B",0,"Moderate"
"Diptera","ShoppingPlaza16","ShoppingPlaza",16,"B",0,"Moderate"
"Diplopoda","ShoppingPlaza16","ShoppingPlaza",16,"B",0,"Moderate"
"Chilopoda","ShoppingPlaza16","ShoppingPlaza",16,"B",0,"Moderate"
"Asian_Clam","ShoppingPlaza17","ShoppingPlaza",17,"A",105,"Tolerant"
"Odonata","ShoppingPlaza17","ShoppingPlaza",17,"A",0,"Moderate"
"Aquatic_Worm","ShoppingPlaza17","ShoppingPlaza",17,"A",0,"Tolerant"
"Rock_Snail","ShoppingPlaza17","ShoppingPlaza",17,"A",0,"Moderate"
"Round_Worm","ShoppingPlaza17","ShoppingPlaza",17,"A",0,"Tolerant"
"Stonefly","ShoppingPlaza17","ShoppingPlaza",17,"A",0,"Sensitive"
"RiffleBeetle","ShoppingPlaza17","ShoppingPlaza",17,"A",0,"Moderate"
"Diptera","ShoppingPlaza17","ShoppingPlaza",17,"A",0,"Moderate"
"Diplopoda","ShoppingPlaza17","ShoppingPlaza",17,"A",0,"Moderate"
"Chilopoda","ShoppingPlaza17","ShoppingPlaza",17,"A",0,"Moderate"
"Asian_Clam","ShoppingPlaza18","ShoppingPlaza",18,"B",17,"Tolerant"
"Odonata","ShoppingPlaza18","ShoppingPlaza",18,"B",0,"Moderate"
"Aquatic_Worm","ShoppingPlaza18","ShoppingPlaza",18,"B",0,"Tolerant"
"Rock_Snail","ShoppingPlaza18","ShoppingPlaza",18,"B",0,"Moderate"
"Round_Worm","ShoppingPlaza18","ShoppingPlaza",18,"B",0,"Tolerant"
"Stonefly","ShoppingPlaza18","ShoppingPlaza",18,"B",0,"Sensitive"
"RiffleBeetle","ShoppingPlaza18","ShoppingPlaza",18,"B",0,"Moderate"
"Diptera","ShoppingPlaza18","ShoppingPlaza",18,"B",0,"Moderate"
"Diplopoda","ShoppingPlaza18","ShoppingPlaza",18,"B",0,"Moderate"
"Chilopoda","ShoppingPlaza18","ShoppingPlaza",18,"B",0,"Moderate"
"Asian_Clam","Upstream1","Upstream",1,"C",0,"Tolerant"
"Odonata","Upstream1","Upstream",1,"C",0,"Moderate"
"Aquatic_Worm","Upstream1","Upstream",1,"C",0,"Tolerant"
"Rock_Snail","Upstream1","Upstream",1,"C",1,"Moderate"
"Round_Worm","Upstream1","Upstream",1,"C",0,"Tolerant"
"Stonefly","Upstream1","Upstream",1,"C",0,"Sensitive"
"RiffleBeetle","Upstream1","Upstream",1,"C",0,"Moderate"
"Diptera","Upstream1","Upstream",1,"C",0,"Moderate"
"Diplopoda","Upstream1","Upstream",1,"C",0,"Moderate"
"Chilopoda","Upstream1","Upstream",1,"C",0,"Moderate"
"Asian_Clam","Upstream2","Upstream",2,"D",5,"Tolerant"
"Odonata","Upstream2","Upstream",2,"D",0,"Moderate"
"Aquatic_Worm","Upstream2","Upstream",2,"D",0,"Tolerant"
"Rock_Snail","Upstream2","Upstream",2,"D",0,"Moderate"
"Round_Worm","Upstream2","Upstream",2,"D",0,"Tolerant"
"Stonefly","Upstream2","Upstream",2,"D",0,"Sensitive"
"RiffleBeetle","Upstream2","Upstream",2,"D",0,"Moderate"
"Diptera","Upstream2","Upstream",2,"D",0,"Moderate"
"Diplopoda","Upstream2","Upstream",2,"D",0,"Moderate"
"Chilopoda","Upstream2","Upstream",2,"D",0,"Moderate"
"Asian_Clam","Upstream3","Upstream",3,"C",1,"Tolerant"
"Odonata","Upstream3","Upstream",3,"C",0,"Moderate"
"Aquatic_Worm","Upstream3","Upstream",3,"C",0,"Tolerant"
"Rock_Snail","Upstream3","Upstream",3,"C",0,"Moderate"
"Round_Worm","Upstream3","Upstream",3,"C",0,"Tolerant"
"Stonefly","Upstream3","Upstream",3,"C",0,"Sensitive"
"RiffleBeetle","Upstream3","Upstream",3,"C",0,"Moderate"
"Diptera","Upstream3","Upstream",3,"C",0,"Moderate"
"Diplopoda","Upstream3","Upstream",3,"C",0,"Moderate"
"Chilopoda","Upstream3","Upstream",3,"C",0,"Moderate"
"Asian_Clam","Upstream4","Upstream",4,"D",3,"Tolerant"
"Odonata","Upstream4","Upstream",4,"D",0,"Moderate"
"Aquatic_Worm","Upstream4","Upstream",4,"D",0,"Tolerant"
"Rock_Snail","Upstream4","Upstream",4,"D",0,"Moderate"
"Round_Worm","Upstream4","Upstream",4,"D",0,"Tolerant"
"Stonefly","Upstream4","Upstream",4,"D",0,"Sensitive"
"RiffleBeetle","Upstream4","Upstream",4,"D",0,"Moderate"
"Diptera","Upstream4","Upstream",4,"D",0,"Moderate"
"Diplopoda","Upstream4","Upstream",4,"D",0,"Moderate"
"Chilopoda","Upstream4","Upstream",4,"D",0,"Moderate"
"Asian_Clam","Upstream5","Upstream",5,"C",0,"Tolerant"
"Odonata","Upstream5","Upstream",5,"C",0,"Moderate"
"Aquatic_Worm","Upstream5","Upstream",5,"C",0,"Tolerant"
"Rock_Snail","Upstream5","Upstream",5,"C",0,"Moderate"
"Round_Worm","Upstream5","Upstream",5,"C",1,"Tolerant"
"Stonefly","Upstream5","Upstream",5,"C",0,"Sensitive"
"RiffleBeetle","Upstream5","Upstream",5,"C",0,"Moderate"
"Diptera","Upstream5","Upstream",5,"C",0,"Moderate"
"Diplopoda","Upstream5","Upstream",5,"C",0,"Moderate"
"Chilopoda","Upstream5","Upstream",5,"C",0,"Moderate"
"Asian_Clam","Upstream6","Upstream",6,"D",20,"Tolerant"
"Odonata","Upstream6","Upstream",6,"D",0,"Moderate"
"Aquatic_Worm","Upstream6","Upstream",6,"D",0,"Tolerant"
"Rock_Snail","Upstream6","Upstream",6,"D",0,"Moderate"
"Round_Worm","Upstream6","Upstream",6,"D",0,"Tolerant"
"Stonefly","Upstream6","Upstream",6,"D",0,"Sensitive"
"RiffleBeetle","Upstream6","Upstream",6,"D",0,"Moderate"
"Diptera","Upstream6","Upstream",6,"D",0,"Moderate"
"Diplopoda","Upstream6","Upstream",6,"D",0,"Moderate"
"Chilopoda","Upstream6","Upstream",6,"D",0,"Moderate"
"Asian_Clam","Upstream7","Upstream",7,"C",0,"Tolerant"
"Odonata","Upstream7","Upstream",7,"C",0,"Moderate"
"Aquatic_Worm","Upstream7","Upstream",7,"C",0,"Tolerant"
"Rock_Snail","Upstream7","Upstream",7,"C",0,"Moderate"
"Round_Worm","Upstream7","Upstream",7,"C",0,"Tolerant"
"Stonefly","Upstream7","Upstream",7,"C",0,"Sensitive"
"RiffleBeetle","Upstream7","Upstream",7,"C",0,"Moderate"
"Diptera","Upstream7","Upstream",7,"C",0,"Moderate"
"Diplopoda","Upstream7","Upstream",7,"C",0,"Moderate"
"Chilopoda","Upstream7","Upstream",7,"C",0,"Moderate"
"Asian_Clam","Upstream8","Upstream",8,"C",0,"Tolerant"
"Odonata","Upstream8","Upstream",8,"C",0,"Moderate"
"Aquatic_Worm","Upstream8","Upstream",8,"C",3,"Tolerant"
"Rock_Snail","Upstream8","Upstream",8,"C",0,"Moderate"
"Round_Worm","Upstream8","Upstream",8,"C",0,"Tolerant"
"Stonefly","Upstream8","Upstream",8,"C",2,"Sensitive"
"RiffleBeetle","Upstream8","Upstream",8,"C",1,"Moderate"
"Diptera","Upstream8","Upstream",8,"C",0,"Moderate"
"Diplopoda","Upstream8","Upstream",8,"C",0,"Moderate"
"Chilopoda","Upstream8","Upstream",8,"C",0,"Moderate"
"Asian_Clam","Upstream9","Upstream",9,"D",3,"Tolerant"
"Odonata","Upstream9","Upstream",9,"D",0,"Moderate"
"Aquatic_Worm","Upstream9","Upstream",9,"D",0,"Tolerant"
"Rock_Snail","Upstream9","Upstream",9,"D",0,"Moderate"
"Round_Worm","Upstream9","Upstream",9,"D",0,"Tolerant"
"Stonefly","Upstream9","Upstream",9,"D",0,"Sensitive"
"RiffleBeetle","Upstream9","Upstream",9,"D",0,"Moderate"
"Diptera","Upstream9","Upstream",9,"D",0,"Moderate"
"Diplopoda","Upstream9","Upstream",9,"D",0,"Moderate"
"Chilopoda","Upstream9","Upstream",9,"D",0,"Moderate"
"Asian_Clam","Upstream10","Upstream",10,"D",0,"Tolerant"
"Odonata","Upstream10","Upstream",10,"D",0,"Moderate"
"Aquatic_Worm","Upstream10","Upstream",10,"D",0,"Tolerant"
"Rock_Snail","Upstream10","Upstream",10,"D",0,"Moderate"
"Round_Worm","Upstream10","Upstream",10,"D",0,"Tolerant"
"Stonefly","Upstream10","Upstream",10,"D",0,"Sensitive"
"RiffleBeetle","Upstream10","Upstream",10,"D",0,"Moderate"
"Diptera","Upstream10","Upstream",10,"D",7,"Moderate"
"Diplopoda","Upstream10","Upstream",10,"D",0,"Moderate"
"Chilopoda","Upstream10","Upstream",10,"D",0,"Moderate"
"Asian_Clam","Upstream11","Upstream",11,"C",0,"Tolerant"
"Odonata","Upstream11","Upstream",11,"C",0,"Moderate"
"Aquatic_Worm","Upstream11","Upstream",11,"C",0,"Tolerant"
"Rock_Snail","Upstream11","Upstream",11,"C",0,"Moderate"
"Round_Worm","Upstream11","Upstream",11,"C",0,"Tolerant"
"Stonefly","Upstream11","Upstream",11,"C",1,"Sensitive"
"RiffleBeetle","Upstream11","Upstream",11,"C",1,"Moderate"
"Diptera","Upstream11","Upstream",11,"C",0,"Moderate"
"Diplopoda","Upstream11","Upstream",11,"C",1,"Moderate"
"Chilopoda","Upstream11","Upstream",11,"C",0,"Moderate"
"Asian_Clam","Upstream12","Upstream",12,"C",0,"Tolerant"
"Odonata","Upstream12","Upstream",12,"C",0,"Moderate"
"Aquatic_Worm","Upstream12","Upstream",12,"C",2,"Tolerant"
"Rock_Snail","Upstream12","Upstream",12,"C",0,"Moderate"
"Round_Worm","Upstream12","Upstream",12,"C",0,"Tolerant"
"Stonefly","Upstream12","Upstream",12,"C",0,"Sensitive"
"RiffleBeetle","Upstream12","Upstream",12,"C",0,"Moderate"
"Diptera","Upstream12","Upstream",12,"C",0,"Moderate"
"Diplopoda","Upstream12","Upstream",12,"C",0,"Moderate"
"Chilopoda","Upstream12","Upstream",12,"C",0,"Moderate"
"Asian_Clam","Upstream13","Upstream",13,"D",0,"Tolerant"
"Odonata","Upstream13","Upstream",13,"D",0,"Moderate"
"Aquatic_Worm","Upstream13","Upstream",13,"D",0,"Tolerant"
"Rock_Snail","Upstream13","Upstream",13,"D",0,"Moderate"
"Round_Worm","Upstream13","Upstream",13,"D",0,"Tolerant"
"Stonefly","Upstream13","Upstream",13,"D",0,"Sensitive"
"RiffleBeetle","Upstream13","Upstream",13,"D",1,"Moderate"
"Diptera","Upstream13","Upstream",13,"D",0,"Moderate"
"Diplopoda","Upstream13","Upstream",13,"D",0,"Moderate"
"Chilopoda","Upstream13","Upstream",13,"D",1,"Moderate"
